n_total,freq_knots,likelihood,repeat,mse,coverage,ci_width,native_mse,wall_time_s,rhat,neff
576,8,mp,19,0.20924882812831563,0.8791666666666667,1.392663566648604,0.6274045300229711,7.212656539995805,1.0081916244011406,384.29551229586696
576,8,mp,20,0.11403504919727592,0.9463888888888888,1.3585985564587069,0.5661455115431918,7.2081433559942525,1.0021669085004352,457.58151757186823
576,8,mp,21,0.14332871702099798,0.9347222222222222,1.3506222349869001,0.5867588040482028,7.214748534999671,1.002619153147555,469.86031581440744
576,8,mp,22,0.22048212632553105,0.8608333333333333,1.3989088688773053,0.6815761621233805,7.123088837994146,1.0008247213113695,314.69293056583234
576,8,mp,23,0.15757556549865476,0.9113888888888889,1.37646538823608,0.5790330303801487,7.123681247991044,1.000131239354991,426.2234133109769
576,8,mp,24,0.10846734788391046,0.9591666666666666,1.3815354764614698,0.5595109763192166,7.222166950989049,1.013623413976997,327.3264079485474
576,8,mp,25,0.20206997883762032,0.8766666666666667,1.390689948412969,0.6571176988986878,7.4659029850008665,1.0029924027115664,434.73463295804146
576,8,mp,26,0.16924771832349783,0.9047222222222222,1.3669275176408475,0.6112394171603155,7.200875178998103,0.9993214245901615,314.25134840519235
576,8,mp,27,0.11696505635126553,0.9591666666666666,1.4037047429320495,0.5464674717644317,7.2019291239994345,1.0023592881410583,372.4426499557543
576,8,mp,28,0.22414039446229245,0.8775,1.3689714421555548,0.6432724765442694,7.2615429169964045,1.0005237229665953,321.2733304570832
576,8,mp,29,0.11844849993761616,0.9363888888888889,1.3480472723713754,0.5272679230033459,7.181625854995218,1.0060337932150851,495.9537687051534
1152,8,wdm,0,0.08636080838552378,0.9308333333333333,1.114482717115187,0.1179381856932007,13.502723177996813,1.0005471123693275,235.481777803323
1152,8,wdm,1,0.09740983213756382,0.9375,1.1278071365253703,0.127525637825216,8.75330260299961,1.001047910796742,331.0168023182718
1152,8,wdm,2,0.08726560442527947,0.9366666666666666,1.1363732585431796,0.12901472928899646,8.766971958000795,1.0134123544646971,245.7741253438617
1152,8,wdm,3,0.07553253844161344,0.9375,1.144868178959895,0.12798702937168743,8.785336467990419,1.011111550684611,249.41039363490341
1152,8,wdm,4,0.09777862215580452,0.9041666666666667,1.1329611992631856,0.1383067487070051,9.084545729012461,1.0200814021055453,209.94535329838408
1152,8,wdm,5,0.07042732864409983,0.9808333333333333,1.1257876794116926,0.0978231490152138,9.04943955001363,1.0122304839106642,226.49247513304937
1152,8,wdm,6,0.09551306583702204,0.9269444444444445,1.116125515244541,0.11924668711098024,9.19519156399474,1.0016338950562604,299.6838347066338
1152,8,wdm,7,0.14141099079382874,0.8663888888888889,1.119093814900037,0.1567395333943087,8.973777064005844,1.0082070466601185,289.3335154340522
1152,8,wdm,8,0.08450738399333814,0.9586111111111111,1.106606494113103,0.10380103929638705,9.086259308998706,1.0138105900130387,281.9149175249799
1152,8,wdm,9,0.08194677266860712,0.9575,1.14834844451349,0.1162213250337827,9.093896293998114,1.0055823705317708,306.756886764027
1152,8,wdm,10,0.08539477290483,0.9533333333333334,1.109531485745941,0.11522650975340928,9.050412964003044,1.0039032805030685,176.09356247503527
1152,8,wdm,11,0.07904004314375632,0.9372222222222222,1.1209206921336023,0.10627190189783972,9.152975257005892,1.005754053658768,332.3952759649393
1152,8,wdm,12,0.08716292194230085,0.9452777777777778,1.1384687888613025,0.16247276169980993,9.37806875500246,1.0072715791787354,337.3376158082193
1152,8,wdm,13,0.07364360443084302,0.9594444444444444,1.1215784033073695,0.09913554572491598,9.32287701399764,1.0052996017367384,345.16444357447364
1152,8,wdm,14,0.08925799797589305,0.9355555555555556,1.1196283084972194,0.14433452963470436,9.439742157992441,1.0058522835603612,323.198382211806
1152,8,wdm,15,0.08349101531963636,0.9463888888888888,1.1473681802616844,0.11272396302228667,9.245188493994647,1.0039154315915877,272.439356711076
1152,8,wdm,16,0.11680976866327078,0.9075,1.1320267225724925,0.14095229280488072,9.183752466997248,1.0050108563201063,344.35712698694005
1152,8,wdm,17,0.07694001456541893,0.9477777777777778,1.111810412114896,0.15373239301703115,9.294051229997422,1.0012362011856581,254.19204627054916
1152,8,wdm,18,0.06047637870952768,0.9630555555555556,1.125356575755459,0.11479685513129732,9.206865781990928,1.0054192743607018,254.77643666691333
1152,8,wdm,19,0.10730190740881823,0.8941666666666667,1.1270069975076542,0.12675484825374053,9.602532374003204,1.0096569211826567,198.44735662096616
1152,8,wdm,20,0.1206500629877146,0.8858333333333334,1.1226003065663155,0.16135969769794076,9.34665428000153,1.0013257497418826,324.0492956224015
1152,8,wdm,21,0.10428604372251635,0.9263888888888889,1.1168823077322363,0.13175062472232035,9.351962643006118,1.0046938202903273,285.9657156406446
1152,8,wdm,22,0.1228981359705297,0.8938888888888888,1.118461839992432,0.14117321010709274,9.748020544007886,1.0052008027434067,291.43509891254894
1152,8,wdm,23,0.07660174719948046,0.9594444444444444,1.1166669855811366,0.12373967968169146,9.248109191001276,0.9996234723204015,246.531859032724
1152,8,wdm,24,0.05692333422198558,0.9841666666666666,1.1187300746579545,0.098468638595043,9.416146642994136,1.0157029514556957,276.0291449707239
1152,8,wdm,25,0.08876339582666094,0.9319444444444445,1.1304323395383906,0.13066811129639508,9.075156921011512,1.0053123797287242,238.73938719968797
