n_total,likelihood,repeat,mse,coverage,ci_width,wall_time_s,rhat,neff
576,mp,8,0.14392464570649363,0.9322916666666666,1.4309337233019077,2.310341374948621,1.0081074051499368,282.6344046923086
576,mp,9,0.11672823665419536,0.93125,1.4368489937864615,2.3830397500423715,1.0046362298834868,295.6912733091708
576,mp,10,0.11320128269778991,0.9052083333333333,1.4244213144615094,2.627505208016373,1.0003268884042922,523.2854242765895
576,mp,11,0.15265789236933386,0.8541666666666666,1.40953015150246,2.319396249949932,1.0063695067777747,355.0535667953949
576,mp,12,0.12557273243388634,0.9135416666666667,1.3913424155426222,2.325083666946739,1.0106690495327462,353.2801002979412
576,mp,13,0.12074763685086158,0.934375,1.4241256996295841,2.272592541994527,1.0038710140042408,237.43244642091463
576,mp,14,0.12402655410271891,0.8958333333333334,1.3965273607993796,2.3405039579374716,1.0043411616390818,372.9587374173086
576,mp,15,0.16753803839910422,0.8666666666666667,1.4144598879405217,2.2594838750083,1.0015111738640388,500.5918158803216
576,mp,16,0.19568098537100206,0.8458333333333333,1.4155285355107734,2.271983749931678,1.0033321665446233,536.1294233082136
576,mp,17,0.13485124647717447,0.8958333333333334,1.4162669505337184,2.305345957982354,1.0017241883153056,458.04601021720293
576,mp,18,0.14508456234788247,0.884375,1.3956192348225827,2.2802379159256816,1.0006264287348885,608.9306887643202
576,mp,19,0.19922064485180588,0.85625,1.4256989698297025,2.1978679170133546,1.0014399707579849,360.50331182355194
576,mp,20,0.09598489143872077,0.9,1.4080696644138144,2.1644724590005353,1.0010862770330446,620.9637842931215
576,mp,21,0.14605449907031445,0.8802083333333334,1.4034933903939641,2.3037058749468997,1.001451766754978,465.4558810280905
576,mp,22,0.19805122321877233,0.8385416666666666,1.4449712882070065,2.5811220000032336,1.0026678216955098,384.7677100512826
576,mp,23,0.135616013853207,0.8927083333333333,1.4151109694399868,2.368872541002929,0.9992420180532718,453.70572598562006
576,mp,24,0.11001555137039364,0.921875,1.4304237645318267,2.331274832948111,1.0054122492154418,383.61553156676933
576,mp,25,0.17784458228009334,0.8677083333333333,1.4285474851962325,2.354780249996111,1.0039968560740211,349.33046441887507
576,mp,26,0.15883468858577202,0.8885416666666667,1.4139159603294906,2.4223996669752523,0.9995477847992026,461.93996913793995
576,mp,27,0.0952432933755608,0.95,1.436614406770404,2.3458724579541013,1.0018687009636633,426.57225152499444
576,mp,28,0.19113102507365168,0.875,1.4070709430361699,2.3740117920096964,1.0003049685367515,388.14738554334036
576,mp,29,0.10930414890557909,0.9145833333333333,1.403704990053399,2.3627756669884548,1.0034085449090044,385.89412944001606
576,mp,30,0.15290144453958898,0.84375,1.4135218852718878,2.3491329579846933,1.0011278724993622,558.5791692209328
576,mp,31,0.0961058248275487,0.9625,1.4140447654356203,2.3666604169411585,1.0007870213976322,408.0793835766401
576,mp,32,0.11484163638531308,0.9010416666666666,1.4288897158603784,2.363522958010435,1.0042729819972267,269.12975654086654
576,mp,33,0.15326774842701266,0.8927083333333333,1.4133421910187418,2.429215290932916,1.0073967169837796,406.08798700402457
